ALGORITHM,MODEL_NAME,MODEL_SCOPE,DATASET,FEATURE_SET,SCALING_LABEL,WORKERS,ITERATIONS,TRAIN_ROWS,METRIC_ROWS,TRAIN_SECONDS,PREDICT_SECONDS,MAE,RMSE,R2,PEAK_PROCESS_MEMORY_MB,PEAK_GPU_MEMORY_MB,CREATED_AT
PyTorch DDP,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_1_node_full_train_full_test_e10,1,10,451461120,9175040,201.07401251792908,4.127642869949341,14.31177068543953,109.9366808897448,-0.9963747577863349,3743.359375,24.93115234375,2026-06-24 04:12:46.328
PyTorch DDP,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_2_nodes_full_train_full_test_e10,2,10,451379200,9175040,150.3807418346405,3.0246639251708984,5.139586748482127,27.173945422602113,0.8780233480004497,3241.92578125,24.93115234375,2026-06-24 04:30:28.694
PyTorch DDP,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_4_nodes_full_train_full_test_e10,4,10,451215360,9175040,116.60863137245178,2.9044790267944336,5.976633484183029,68.0432020530753,0.23518698699468266,2791.5078125,24.93115234375,2026-06-24 04:38:04.031
PyTorch DDP,Snowflake_PyTorch_DDP,global,all,augmented_with_t5,pytorch_gpu_augmented_4_nodes_full_train_full_test_e10,4,10,451215360,9175040,131.42453479766846,2.9886467456817627,5.496185936007117,44.517475766564296,0.6718549993295162,3239.25,25.22216796875,2026-06-24 04:41:27.756
PyTorch DDP,Combined_Separate_PyTorch_DDP_Models,separate_combined,yellow+green+fhv+fhvhv,baseline_without_augmentation,pytorch_gpu_combined_separate_2_nodes_full_train_full_test_e10,2,10,450887680,9175040,183.3880476951599,6.590878963470459,8.507715847324912,69.82482771281228,0.1943245458569265,2293.59765625,24.93115234375,2026-06-24 05:21:25.829
SGD partial_fit,SGDRegressor_partial_fit,global,all,baseline_without_augmentation,sgd_baseline_full_train_full_test_stable_e1,1,,45147840,9180480,37.252267599105835,7.852967262268066,99.60615104567076,563.010071450049,-51.38825720993065,2850.4765625,3,2026-06-24 04:54:14.326
SGD partial_fit,SGDRegressor_partial_fit,global,all,baseline_without_augmentation,sgd_baseline_full_train_full_test_stable_e10,1,,451478400,9180480,384.596777677536,7.075088262557983,131.74184978499972,671.937117776116,-73.62062594723709,2973.9296875,3,2026-06-24 05:02:45.595
SGD partial_fit,SGDRegressor_partial_fit,global,all,augmented_with_t5,sgd_augmented_full_train_full_test_stable_e1,1,,45147840,9180480,69.67969369888306,9.805376529693604,64.61705355255653,417.44357557223736,-27.80031161544319,3261.0703125,3,2026-06-24 05:07:35.985
XGBoost,Snowflake_Distributed_XGBoost_GPU,global,all,baseline_without_augmentation,xgb_gpu_baseline_2_nodes_full_train_full_test,2,30,45147840,9180480,146.80195713043213,8.016412734985352,9.46785312069082,29.91516899194387,0.8520944248832084,1219.78125,769,2026-06-02 20:32:45.020
XGBoost,Snowflake_Distributed_XGBoost_GPU,global,all,baseline_without_augmentation,xgb_gpu_baseline_4_nodes_full_train_full_test,4,30,45147840,9180480,134.69217085838318,5.932562589645386,9.398605483628122,29.95516095288679,0.8516987067290924,1289.7890625,514,2026-06-02 20:38:28.847
XGBoost,Snowflake_Distributed_XGBoost_GPU,global,all,augmented_with_t5,xgb_gpu_augmented_4_nodes_full_train_full_test,4,30,45147840,9180480,137.8339855670929,8.585556268692017,9.43870643734425,30.77197216449013,0.8435007411105624,1304.42578125,528,2026-06-02 20:57:18.853
XGBoost,Combined_Separate_XGBoost_Models,separate_combined,yellow+green+fhv+fhvhv,augmented_with_t5,xgb_gpu_combined_separate_4_nodes_full_train_full_test,4,30,45147840,9180480,511.86212825775146,17.58598041534424,6.365799710351871,21.835177031198935,0.921202024763859,1422.2421875,528,2026-06-02 21:29:24.130
XGBoost,Snowflake_Distributed_XGBoost_CPU,global,all,augmented_with_t5,xgb_cpu_augmented_4_nodes_full_train_full_test,4,30,45147840,9180480,154.43208193778992,13.73055648803711,10.374588196978161,33.81575004219305,0.8110096311188125,594.00390625,0,2026-06-02 21:47:12.798
